ITEM_Level               ItemId: 0110774   UnitsShipped: 300.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 20                                                                                      


ITEM_Level               ItemId: 0139352   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 480.0     poNbr: 19806  SequenceNumber: 47                                                                                      
ITEM_Level               ItemId: 0139352   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 120.0     poNbr: 19806  SequenceNumber: 37                                                                                      
ITEM_Level               ItemId: 0139352   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 13                                                                                      

LPN_Level                ItemId: 0139352   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 480.0     poNbr: 19806  SequenceNumber: 48                                                                                      
LPN_Level                ItemId: 0139352   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 120.0     poNbr: 19806  SequenceNumber: 1                                                                                       




ITEM_Level               ItemId: 0171801   UnitsShipped: 1260.0    (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 68                                                                                      
ITEM_Level               ItemId: 0171801   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 300.0     poNbr: 19806  SequenceNumber: 51                                                                                      
ITEM_Level               ItemId: 0171801   UnitsShipped: 1200.0    (poLineQty) UnitsReceived: 960.0     poNbr: 19806  SequenceNumber: 42                                                                                      
LPN_Level                ItemId: 0171801   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 480.0     poNbr: 19806  SequenceNumber: 9                                                                                       
LPN_Level                ItemId: 0171801   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 480.0     poNbr: 19806  SequenceNumber: 52                                                                                      
LPN_Level                ItemId: 0171801   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 300.0     poNbr: 19806  SequenceNumber: 38                                                                                      
ITEM_Level               ItemId: 0213786   UnitsShipped: 960.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 6                                                                                       
ITEM_Level               ItemId: 0213786   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 240.0     poNbr: 19806  SequenceNumber: 50                                                                                      
LPN_Level                ItemId: 0213786   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 240.0     poNbr: 19806  SequenceNumber: 12                                                                                      
ITEM_Level               ItemId: 0241588   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 120.0     poNbr: 19806  SequenceNumber: 45                                                                                      
ITEM_Level               ItemId: 0241588   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 480.0     poNbr: 19806  SequenceNumber: 24                                                                                      
ITEM_Level               ItemId: 0241588   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 17                                                                                      
LPN_Level                ItemId: 0241588   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 480.0     poNbr: 19806  SequenceNumber: 8                                                                                       
LPN_Level                ItemId: 0241588   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 120.0     poNbr: 19806  SequenceNumber: 49                                                                                      



ITEM_Level               ItemId: 0251470   UnitsShipped: 504.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 23                                                                                      


