ITEM_Level               ItemId: 0010489   UnitsShipped: 500.0     (poLineQty) UnitsReceived: 280.0     poNbr: 75630  SequenceNumber: 3                                                                                       ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 63.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 9                                                                                       ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 35.0      poNbr: 75630  SequenceNumber: 8                                                                                       ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 63.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 7                                                                                       ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 35.0      poNbr: 75630  SequenceNumber: 6                                                                                       ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 63.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 5                                                                                       ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 35.0      poNbr: 75630  SequenceNumber: 4                                                                                       ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 63.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 3                                                                                       ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 35.0      poNbr: 75630  SequenceNumber: 2                                                                                       ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 35.0      poNbr: 75630  SequenceNumber: 16                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 39.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 15                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 35.0      poNbr: 75630  SequenceNumber: 14                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 63.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 13                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 35.0      poNbr: 75630  SequenceNumber: 12                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 63.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 11                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 35.0      poNbr: 75630  SequenceNumber: 10                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0010489   UnitsShipped: 63.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 1                                                                                       ReceiptVariance: Y    

ITEM_Level               ItemId: 0181883   UnitsShipped: 333.0     (poLineQty) UnitsReceived: 508.0     poNbr: 75630  SequenceNumber: 2                                                                                       ReceiptVariance: Y    

LPN_Level                ItemId: 0181883   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 35.0      poNbr: 75630  SequenceNumber: 50                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0181883   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 35.0      poNbr: 75630  SequenceNumber: 49                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0181883   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 35.0      poNbr: 75630  SequenceNumber: 48                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0181883   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 35.0      poNbr: 75630  SequenceNumber: 47                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0181883   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 35.0      poNbr: 75630  SequenceNumber: 46                                                                                      ReceiptVariance: Y    
